Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
108,Max Alleyne,eng ENG,DF,Manchester City,eng Premier League,19-156,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
109,Thiago Almada,ar ARG,FW,Lyon,fr Ligue 1,23-279,2001,1,27,27,1.6,0.3,0,,0,1,27,1,1.00,0,1,-1,-3.33,-3.76,0.2,1.1,-0.9,-3.07,-3.42,Matches
110,Alex Almansa,es ESP,FW,Espanyol,es La Liga,21-083,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
111,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24-245,2000,18,984,55,52.1,10.9,11,76,3,7,21,2,0.83,11,18,-7,-0.64,+0.25,12.0,19.5,-7.5,-0.68,-0.23,Matches
112,Iker Almena,es ESP,"FW,DF",Girona,es La Liga,20-271,2004,2,48,24,2.5,0.5,0,,0,2,24,0,0.50,1,1,0,0.00,0.00,1.1,1.0,+0.1,+0.24,+0.16,Matches
113,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,30-355,1994,9,157,17,7.6,1.7,1,67,0,8,11,14,1.56,1,3,-2,-1.15,-1.90,2.8,3.6,-0.8,-0.47,-1.11,Matches
114,Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25-204,1999,19,669,35,33.8,7.4,5,55,0,14,28,3,0.68,11,18,-7,-0.94,-0.67,11.1,15.9,-4.7,-0.64,-0.01,Matches
115,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-033,1990,16,1350,84,71.4,15.0,14,89,12,2,51,0,1.19,16,19,-3,-0.20,-0.20,19.1,13.5,+5.6,+0.37,+0.42,Matches
116,Giorgio Altare,it ITA,DF,Venezia,it Serie A,26-174,1998,12,753,63,38.0,8.4,8,80,5,4,29,4,0.92,9,12,-3,-0.36,+0.52,6.5,13.4,-7.0,-0.83,-0.21,Matches
117,Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,23-308,2001,12,868,72,45.9,9.6,10,82,6,2,25,8,1.25,10,16,-6,-0.62,-0.27,7.6,16.5,-9.0,-0.93,-0.11,Matches
118,Sergi Altimira,es ESP,MF,Betis,es La Liga,23-158,2001,18,1196,66,63.3,13.3,13,78,5,5,36,3,1.50,17,18,-1,-0.08,+0.18,20.4,15.5,+4.9,+0.37,+0.71,Matches
119,Laurenzo Alvarenga,fr FRA,MF,Nice,fr Ligue 1,20-247,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
120,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,27-098,1997,19,1229,65,59.4,13.7,14,77,3,5,31,0,1.16,13,24,-11,-0.81,-0.27,17.2,21.2,-3.9,-0.29,+0.28,Matches
121,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21-212,2003,21,1297,62,68.6,14.4,13,82,8,8,30,0,1.19,21,24,-3,-0.21,-0.21,20.9,15.3,+5.5,+0.38,+0.41,Matches
122,Iker Álvarez,ad AND,GK,Villarreal,es La Liga,23-189,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
123,Julián Álvarez,ar ARG,"FW,MF",Atlético Madrid,es La Liga,24-365,2000,21,1366,65,72.3,15.2,16,76,6,5,29,0,2.14,24,9,+15,+0.99,-0.04,24.0,14.0,+10.0,+0.66,-0.73,Matches
124,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,30-006,1995,12,992,83,52.5,11.0,11,90,11,1,2,4,1.83,11,8,+3,+0.27,-0.73,12.4,9.7,+2.8,+0.25,-0.46,Matches
125,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,22-271,2002,10,133,13,7.8,1.5,1,56,0,9,9,6,1.40,0,1,-1,-0.68,-0.56,1.9,1.5,+0.4,+0.27,+0.31,Matches
